frame,cx,cy,x,y,w,h,yolo_conf,group_id
325,17.5,195.0,10.0,188.0,15.0,14.0,0.713,4.0
326,16.0,195.5,8.0,188.0,16.0,15.0,0.745,4.0
327,15.0,197.0,7.0,189.0,16.0,16.0,0.724,4.0
328,14.5,199.0,7.0,191.0,15.0,16.0,0.666,4.0
329,13.0,202.5,6.0,196.0,14.0,13.0,0.508,4.0
330,12.0,208.5,5.0,202.0,14.0,13.0,,4.0
331,10.0,215.5,3.0,209.0,14.0,13.0,,4.0
332,8.0,224.5,1.0,218.0,14.0,13.0,,4.0
333,7.0,224.5,0.0,218.0,14.0,13.0,,4.0
334,5.0,224.5,-2.0,218.0,14.0,13.0,,4.0
335,1.0,224.5,-6.0,218.0,14.0,13.0,,4.0
336,0.0,225.5,-7.0,219.0,14.0,13.0,,4.0
337,0.0,225.5,-7.0,219.0,14.0,13.0,,4.0
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,47.5,245.0,38.0,235.0,19.0,20.0,,5.0
353,47.5,245.0,38.0,235.0,19.0,20.0,,5.0
354,48.0,244.5,38.0,234.0,20.0,21.0,,5.0
355,45.0,229.5,35.0,219.0,20.0,21.0,,5.0
356,51.0,246.5,41.0,236.0,20.0,21.0,,5.0
357,56.0,263.5,46.0,253.0,20.0,21.0,0.665,5.0
358,58.0,264.5,48.0,254.0,20.0,21.0,,5.0
359,59.0,250.0,48.0,239.0,22.0,22.0,0.695,5.0
360,53.5,234.0,45.0,224.0,17.0,20.0,0.623,5.0
361,55.5,226.0,47.0,216.0,17.0,20.0,,5.0
362,69.0,218.5,60.0,210.0,18.0,17.0,,5.0
363,76.0,212.5,67.0,204.0,18.0,17.0,0.639,5.0
364,84.0,206.5,75.0,198.0,18.0,17.0,,5.0
365,96.0,201.5,87.0,193.0,18.0,17.0,,5.0
366,104.5,197.5,95.0,188.0,19.0,19.0,,5.0
367,116.5,195.5,107.0,186.0,19.0,19.0,0.724,5.0
368,127.0,193.5,117.0,184.0,20.0,19.0,0.771,5.0
369,136.0,194.0,127.0,184.0,18.0,20.0,0.729,5.0
370,144.5,197.0,135.0,187.0,19.0,20.0,0.749,5.0
371,151.0,204.0,142.0,194.0,18.0,20.0,0.749,5.0
372,156.5,213.5,148.0,203.0,17.0,21.0,0.727,5.0
